"source_bo_id","source_business_id","full_name","date_of_birth","nationality","ownership_percentage","control_type","declared_date"
"BO-00053","BUS-00025","Cahya Hartono","1976-08-08","ID","100.00","VOTING_RIGHTS","2025-10-27"
"BO-00054","BUS-00026","Zahra Setiawan","1961-06-01","ID","56.38","OWNERSHIP","2024-09-20"
"BO-00055","BUS-00026","Ir. Gita Maulana","1957-01-01","ID","12.87","OTHER_SIGNIFICANT_INFLUENCE","2024-09-02"
"BO-00056","BUS-00026","Gilang Santoso","1974-05-01","ID","30.75","VOTING_RIGHTS","2025-08-22"
"BO-00057","BUS-00027","Lestari Pratama","1987-12-20","ID","17.68","OTHER_SIGNIFICANT_INFLUENCE","2024-04-17"
"BO-00058","BUS-00027","Ir. Umi Situmorang","1996-08-02","ID","51.03","OWNERSHIP","2024-07-30"
"BO-00059","BUS-00027","Hj. Indah Suryadi","1991-05-02","ID","13.81","OWNERSHIP","2025-02-27"
"BO-00060","BUS-00027","Ir. Iwan Saputra","1979-04-16","ID","17.48","OTHER_SIGNIFICANT_INFLUENCE","2025-08-08"
"BO-00061","BUS-00028","Ir. Joko Wijaya","1967-04-13","ID","20.67","OWNERSHIP","2025-09-14"
"BO-00062","BUS-00028","Ir. Hadi Dian Simatupang","1989-12-05","ID","62.17","OWNERSHIP","2024-03-16"
"BO-00063","BUS-00028","Bayu Nugroho","1957-01-03","ID","17.16","BOARD_CONTROL","2025-01-04"
"BO-00064","BUS-00029","Vina Zahra Maulana","1964-07-13","ID","38.49","BOARD_CONTROL","2024-05-04"
"BO-00065","BUS-00029","Oki Situmorang","1978-01-08","ID","61.51","BOARD_CONTROL","2023-10-27"
"BO-00066","BUS-00030","Drs. Iwan Halim","1965-06-09","ID","100.00","VOTING_RIGHTS","2025-05-09"
"BO-00067","BUS-00031","Drs. Nanda Eka Pratama","1966-10-06","ID","18.90","BOARD_CONTROL","2024-01-05"
"BO-00068","BUS-00031","Ir. Oki Siregar","1999-10-18","ID","46.31","BOARD_CONTROL","2025-05-11"
"BO-00069","BUS-00031","Dra. Zahra Siregar","1970-09-11","ID","34.79","BOARD_CONTROL","2025-03-04"
"BO-00070","BUS-00032","Ir. Kartika Nugroho","1974-10-04","ID","42.27","BOARD_CONTROL","2026-02-17"
"BO-00071","BUS-00032","Rina Wijaya","1957-03-15","ID","57.73","OTHER_SIGNIFICANT_INFLUENCE","2024-07-12"
"BO-00072","BUS-00033","Putri Saputra","1965-12-13","ID","100.00","OWNERSHIP","2025-12-27"
"BO-00073","BUS-00034","Hadi Siregar","1969-10-27","ID","43.03","BOARD_CONTROL","2024-10-31"
"BO-00074","BUS-00034","Siti Lestari Pratama","1972-03-07","ID","39.83","OWNERSHIP","2024-09-05"
"BO-00075","BUS-00034","H. Iwan Adi Kusuma","1996-08-05","ID","10.35","OWNERSHIP","2025-06-07"
"BO-00076","BUS-00035","Gilang Suryadi","1967-04-08","ID","100.00","OWNERSHIP","2025-09-14"
"BO-00077","BUS-00036","Siti Putri Halim","1955-03-07","ID","48.84","BOARD_CONTROL","2025-01-26"
"BO-00078","BUS-00036","Oki Hartono","1972-03-08","ID","38.08","OWNERSHIP","2024-02-22"
"BO-00079","BUS-00036","Oki Hartono","1986-06-28","ID","13.08","BOARD_CONTROL","2024-07-04"
"BO-00080","BUS-00037","Sari Gunawan","1990-06-16","ID","22.96","OTHER_SIGNIFICANT_INFLUENCE","2024-04-20"
"BO-00081","BUS-00037","Indah Siregar","1955-02-16","ID","11.83","OWNERSHIP","2025-08-12"
"BO-00082","BUS-00037","Vina Hidayat","1994-07-16","ID","65.21","OWNERSHIP","2025-10-01"
"BO-00083","BUS-00038","Ir. Dewi Ramadhan","1973-02-14","ID","23.12","VOTING_RIGHTS","2024-08-17"
"BO-00084","BUS-00038","Wahyu Saputra","1956-12-08","ID","61.93","VOTING_RIGHTS","2025-04-23"
"BO-00085","BUS-00038","Vina Permana","1974-03-23","ID","10.48","VOTING_RIGHTS","2024-11-29"
"BO-00086","BUS-00039","Dian Wijaya","1987-05-17","ID","100.00","OWNERSHIP","2024-04-17"
"BO-00087","BUS-00040","Ir. Rina Hartono","1969-06-16","ID","100.00","BOARD_CONTROL","2024-06-01"
"BO-00088","BUS-00041","Adi Siregar","1962-10-23","ID","24.98","OWNERSHIP","2024-01-30"
"BO-00089","BUS-00041","Ir. Wulan Maulana","1973-11-27","ID","75.02","OTHER_SIGNIFICANT_INFLUENCE","2026-02-10"
"BO-00090","BUS-00042","Ir. Kartika Simatupang","1997-01-14","ID","62.33","OWNERSHIP","2023-11-17"
"BO-00091","BUS-00042","Hj. Anggun Hartono","1966-06-11","ID","37.67","OTHER_SIGNIFICANT_INFLUENCE","2024-08-23"
"BO-00092","BUS-00043","H. Hadi Pratama","1973-06-24","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-06-06"
"BO-00093","BUS-00044","Ir. Putri Kartika Permana","1968-08-22","ID","89.70","OWNERSHIP","2026-02-09"
"BO-00094","BUS-00044","Dra. Kartika Sari Saputra","1989-06-25","ID","10.04","OWNERSHIP","2025-09-28"
"BO-00095","BUS-00045","Ir. Sari Hartono","1994-10-10","ID","26.78","OWNERSHIP","2024-05-01"
"BO-00096","BUS-00045","Sari Kusuma","1974-07-01","ID","26.93","BOARD_CONTROL","2023-12-20"
"BO-00097","BUS-00045","Hadi Santoso","1987-09-26","ID","46.29","OWNERSHIP","2024-06-16"
"BO-00098","BUS-00046","Nanda Halim","1961-04-07","ID","100.00","BOARD_CONTROL","2025-08-09"
"BO-00099","BUS-00047","Dra. Mega Halim","1961-07-03","ID","73.21","BOARD_CONTROL","2023-11-04"
"BO-00100","BUS-00047","Ir. Umi Suryadi","1996-03-12","ID","15.51","OWNERSHIP","2025-10-20"
"BO-00101","BUS-00047","Ir. Joko Kusuma","1986-09-27","ID","10.97","OTHER_SIGNIFICANT_INFLUENCE","2025-04-16"
"BO-00102","BUS-00048","Dra. Mega Anggraini","1998-04-17","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-09-06"
"BO-00103","BUS-00049","Wulan Hartono","1979-07-03","ID","39.47","VOTING_RIGHTS","2024-08-02"
"BO-00104","BUS-00049","Yuda Hidayat","1975-09-10","ID","48.07","OTHER_SIGNIFICANT_INFLUENCE","2026-02-05"
"BO-00105","BUS-00049","Ir. Tono Nanda Siregar","1962-09-11","ID","12.46","OTHER_SIGNIFICANT_INFLUENCE","2025-10-24"
"BO-00106","BUS-00050","H. Bayu Wijaya","1975-08-20","ID","78.27","BOARD_CONTROL","2024-06-02"
"BO-00107","BUS-00050","Dewi Wijaya","1970-02-27","ID","21.73","VOTING_RIGHTS","2026-02-28"
"BO-00108","BUS-00051","Ir. Gita Kusuma","1969-02-16","ID","35.02","VOTING_RIGHTS","2026-01-03"
"BO-00109","BUS-00051","Nanda Pratama","1996-03-03","ID","24.86","VOTING_RIGHTS","2024-02-29"
"BO-00110","BUS-00051","Anggun Wijaya","1994-09-21","ID","40.12","OTHER_SIGNIFICANT_INFLUENCE","2025-09-23"
"BO-00111","BUS-00052","Kartika Suryadi","1988-07-04","ID","100.00","OWNERSHIP","2024-07-24"
"BO-00112","BUS-00053","Hj. Dewi Siregar","1955-01-23","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-09-26"
"BO-00113","BUS-00054","Ir. Wulan Saputra","1984-05-28","ID","33.30","BOARD_CONTROL","2023-11-30"
"BO-00114","BUS-00054","Dewi Permana","1958-09-13","ID","66.70","OTHER_SIGNIFICANT_INFLUENCE","2024-02-27"
"BO-00115","BUS-00055","Ir. Gilang Pratama","1993-09-04","ID","52.00","OWNERSHIP","2025-11-30"
"BO-00116","BUS-00055","Joko Pratama","1999-10-12","ID","25.69","OTHER_SIGNIFICANT_INFLUENCE","2025-01-22"
"BO-00117","BUS-00055","Citra Situmorang","1992-10-20","ID","10.06","OWNERSHIP","2024-08-31"
"BO-00118","BUS-00055","H. Iwan Hartono","1998-10-23","ID","12.25","OTHER_SIGNIFICANT_INFLUENCE","2024-11-11"
"BO-00119","BUS-00056","Drs. Gilang Gunawan","1972-09-27","ID","100.00","OWNERSHIP","2025-12-01"
"BO-00120","BUS-00057","Oki Yuda Maulana","1983-08-02","ID","55.47","BOARD_CONTROL","2025-11-03"
"BO-00121","BUS-00057","Bayu Permana","1969-03-27","ID","15.60","VOTING_RIGHTS","2024-08-02"
"BO-00122","BUS-00057","Dra. Citra Ramadhan","1973-11-25","ID","17.94","OWNERSHIP","2024-01-16"
"BO-00123","BUS-00057","Umi Situmorang","1958-02-03","ID","10.99","OWNERSHIP","2025-07-14"
"BO-00124","BUS-00058","Mega Saputra","1996-04-19","ID","73.58","OTHER_SIGNIFICANT_INFLUENCE","2024-08-07"
"BO-00125","BUS-00058","Dra. Dewi Setiawan","1999-10-01","ID","26.42","BOARD_CONTROL","2024-01-24"
"BO-00126","BUS-00059","Wahyu Siregar","1990-05-21","ID","72.96","VOTING_RIGHTS","2024-01-26"
"BO-00127","BUS-00059","Tono Hartono","1995-03-23","ID","14.46","OTHER_SIGNIFICANT_INFLUENCE","2024-06-13"
"BO-00128","BUS-00059","Kartika Permana","1995-10-13","ID","10.77","OTHER_SIGNIFICANT_INFLUENCE","2024-11-23"
"BO-00129","BUS-00060","Siti Rina Anggraini","1975-03-24","ID","75.71","OWNERSHIP","2025-11-12"
"BO-00130","BUS-00060","H. Rahmat Simatupang","1995-10-10","ID","11.62","BOARD_CONTROL","2024-05-25"
"BO-00131","BUS-00060","Hj. Gita Suryadi","1991-06-14","ID","10.45","VOTING_RIGHTS","2024-05-20"
"BO-00132","BUS-00057","Putri Saputra","1965-12-13","ID","29.77","OWNERSHIP","2025-12-27"
"BO-00133","BUS-00031","Oki Gilang Hidayat","1955-03-25","ID","27.52","BOARD_CONTROL","2025-06-03"
