"source_transaction_reference","source_account_id","direction","amount_original","currency_original","value_datetime","business_date","channel","transaction_type","counterparty_reference","counterparty_name","counterparty_country","source_merchant_id","source_device_id","ip_address","status_from_source"
"TXN-000014538","ACC-0000481","OUT","60466.00","IDR","2026-03-31T17:57:51+07:00","2026-03-31","QRIS","MERCHANT_PAYMENT","EXT-7775393","Ir. Anggun Wijaya","ID","MER-00041","DEV-000011","203.0.113.179","SETTLED"
"TXN-000000053","ACC-0000002","OUT","48293.00","IDR","2026-04-01T06:54:56+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-6208275","H. Nanda Setiawan","ID","","DEV-000470","198.51.100.196","SETTLED"
"TXN-000000109","ACC-0000004","OUT","480302.00","IDR","2026-04-01T18:34:41+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-7274318","Wahyu Wijaya","ID","","DEV-000022","198.51.100.64","SETTLED"
"TXN-000000199","ACC-0000007","IN","168977.00","IDR","2026-04-01T15:31:33+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-2300273","Nanda Lubis","ID","","DEV-000070","198.51.100.64","SETTLED"
"TXN-000000523","ACC-0000015","OUT","117319.00","IDR","2026-04-01T09:49:25+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-8975611","Gilang Permana","ID","","DEV-000210","198.51.100.206","SETTLED"
"TXN-000000568","ACC-0000017","IN","30119.00","IDR","2026-04-01T14:24:35+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-9337029","Drs. Tono Situmorang","ID","MER-00029","DEV-000177","203.0.113.184","SETTLED"
"TXN-000000603","ACC-0000019","OUT","29956.00","IDR","2026-04-01T20:46:15+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-6713337","Ir. Rahmat Permana","ID","","DEV-000244","203.0.113.192","SETTLED"
"TXN-000000617","ACC-0000018","IN","346601.00","IDR","2026-04-01T20:40:38+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-9347770","Gita Nugroho","ID","","DEV-000244","198.51.100.146","SETTLED"
"TXN-000000636","ACC-0000018","OUT","6226.00","IDR","2026-04-01T11:57:37+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-6637122","Iwan Nugroho","ID","","DEV-000244","198.51.100.95","SETTLED"
"TXN-000000678","ACC-0000021","IN","42824.00","IDR","2026-04-01T10:37:50+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-2836272","Ir. Hadi Kusuma","ID","","DEV-000079","198.51.100.45","SETTLED"
"TXN-000000800","ACC-0000024","OUT","13532.00","IDR","2026-04-01T20:00:08+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-6827631","Siti Santoso","ID","MER-00067","DEV-000266","198.51.100.236","SETTLED"
"TXN-000000855","ACC-0000026","OUT","73529.00","IDR","2026-04-01T11:32:15+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-2317662","Joko Nugroho","ID","","DEV-000354","198.51.100.87","SETTLED"
"TXN-000000872","ACC-0000026","IN","698675.00","IDR","2026-04-01T15:48:50+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-7625044","Zahra Kusuma","ID","","DEV-000354","203.0.113.198","SETTLED"
"TXN-000000914","ACC-0000028","IN","211609.00","IDR","2026-04-01T14:35:26+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-7058606","Rina Umi Lubis","ID","MER-00044","DEV-000314","198.51.100.23","SETTLED"
"TXN-000000942","ACC-0000030","OUT","65713.00","IDR","2026-04-01T13:54:25+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-6189045","Dian Lubis","ID","","DEV-000356","198.51.100.225","SETTLED"
"TXN-000001016","ACC-0000031","IN","10466.00","IDR","2026-04-01T12:05:57+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-4830366","Ir. Eka Anggraini","ID","","DEV-000104","203.0.113.84","SETTLED"
"TXN-000001033","ACC-0000031","IN","42019.00","IDR","2026-04-01T08:25:51+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-5244062","Zahra Saputra","ID","","DEV-000104","198.51.100.177","SETTLED"
"TXN-000001158","ACC-0000036","OUT","177523.00","IDR","2026-04-01T07:24:46+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-8249450","H. Eka Nugroho","ID","","DEV-000227","198.51.100.117","SETTLED"
"TXN-000001275","ACC-0000042","OUT","120617.00","IDR","2026-04-01T18:25:55+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-2327180","Iwan Lubis","ID","MER-00018","DEV-000294","198.51.100.22","SETTLED"
"TXN-000001286","ACC-0000042","OUT","20812.00","IDR","2026-04-01T10:52:55+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-9368633","Cahya Hartono","ID","","DEV-000294","203.0.113.57","SETTLED"
"TXN-000001346","ACC-0000043","IN","31880.00","IDR","2026-04-01T21:56:09+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-4253091","Adi Joko Lubis","ID","","","198.51.100.244","SETTLED"
"TXN-000001368","ACC-0000044","IN","204197.00","IDR","2026-04-01T17:28:48+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-1819861","Vina Mega Hartono","ID","MER-00055","DEV-000087","198.51.100.225","SETTLED"
"TXN-000001798","ACC-0000062","OUT","95841.00","IDR","2026-04-01T12:57:35+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-4402408","Indah Ramadhan","ID","MER-00011","","198.51.100.98","SETTLED"
"TXN-000001882","ACC-0000065","OUT","856050.00","IDR","2026-04-01T14:56:32+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-4662245","Joko Joko Pratama","ID","","DEV-000489","198.51.100.130","SETTLED"
"TXN-000002002","ACC-0000067","OUT","0.00","IDR","2026-04-01T15:01:31+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-9150420","Bagus Gunawan","ID","","","203.0.113.68","SETTLED"
"TXN-000002139","ACC-0000071","IN","117701.00","IDR","2026-04-01T19:24:56+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-1506357","Joko Anggraini","ID","","DEV-000252","198.51.100.94","SETTLED"
"TXN-000002147","ACC-0000071","IN","913738.00","IDR","2026-04-01T15:25:29+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-2984590","Ir. Wulan Wijaya","ID","MER-00042","DEV-000252","203.0.113.148","SETTLED"
"TXN-000002250","ACC-0000076","OUT","14975.00","IDR","2026-04-01T13:20:57+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-7188826","Dra. Anggun Siregar","ID","","DEV-000243","198.51.100.91","SETTLED"
"TXN-000002298","ACC-0000078","OUT","10844.00","IDR","2026-04-01T09:02:59+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-2918541","Joko Kusuma","ID","","DEV-000276","198.51.100.99","SETTLED"
