"source_transaction_reference","source_account_id","direction","amount_original","currency_original","value_datetime","business_date","channel","transaction_type","counterparty_reference","counterparty_name","counterparty_country","source_merchant_id","source_device_id","ip_address","status_from_source"
"TXN-000000224","ACC-0000008","IN","24102.00","IDR","2026-04-01T10:16:09+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-6529390","Ir. Rahmat Ramadhan","ID","MER-00006","DEV-000061","198.51.100.134","SETTLED"
"TXN-000000310","ACC-0000010","IN","32421.00","IDR","2026-04-01T14:24:31+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-8664704","Ir. Citra Sari Lubis","ID","","DEV-000084","198.51.100.29","SETTLED"
"TXN-000000529","ACC-0000015","OUT","117319.00","IDR","2026-04-01T09:49:25+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-7344595","Umi Hidayat","ID","","DEV-000063","203.0.113.162","SETTLED"
"TXN-000000575","ACC-0000016","IN","30119.00","IDR","2026-04-01T14:24:35+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-7497988","Joko Oki Hartono","ID","MER-00014","DEV-000046","203.0.113.60","PENDING"
"TXN-000000647","ACC-0000018","OUT","6226.00","IDR","2026-04-01T11:57:37+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-6591500","Gita Indah Gunawan","ID","","DEV-000032","198.51.100.186","SETTLED"
"TXN-000000705","ACC-0000020","IN","44642.00","IDR","2026-04-01T12:31:19+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-4919353","Dra. Umi Halim","ID","","DEV-000068","203.0.113.226","SETTLED"
"TXN-000000726","ACC-0000021","OUT","32021.00","IDR","2026-04-01T06:46:46+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-8251857","Hj. Lestari Zahra Halim","ID","","DEV-000007","203.0.113.150","SETTLED"
"TXN-000000812","ACC-0000023","OUT","13532.00","IDR","2026-04-01T20:00:08+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-5288739","Bayu Bayu Santoso","ID","MER-00009","DEV-000086","203.0.113.15","SETTLED"
"TXN-000000868","ACC-0000024","OUT","73529.00","IDR","2026-04-01T11:32:15+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-7872161","Indah Halim","ID","","","203.0.113.11","SETTLED"
"TXN-000000885","ACC-0000024","IN","698675.00","IDR","2026-04-01T15:48:50+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-4350952","Bayu Wijaya","ID","","DEV-000025","198.51.100.210","SETTLED"
"TXN-000000927","ACC-0000025","IN","211609.00","IDR","2026-04-01T14:35:26+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-5116987","Umi Maulana","ID","MER-00006","DEV-000016","203.0.113.94","SETTLED"
"TXN-000000955","ACC-0000026","OUT","65713.00","IDR","2026-04-01T13:54:25+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-1005114","Wulan Setiawan","ID","","DEV-000048","198.51.100.1","SETTLED"
"TXN-000001030","ACC-0000029","IN","10466.00","IDR","2026-04-01T12:05:57+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-4571914","Hj. Citra Rina Saputra","ID","","DEV-000028","198.51.100.215","SETTLED"
"TXN-000001172","ACC-0000031","OUT","177523.00","IDR","2026-04-01T07:24:46+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-6227037","Dra. Dewi Setiawan","ID","","DEV-000026","198.51.100.29","SETTLED"
"TXN-000001291","ACC-0000035","OUT","120617.00","IDR","2026-04-01T18:25:55+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-8598485","Lestari Maulana","ID","MER-00003","DEV-000098","203.0.113.38","SETTLED"
"TXN-000001302","ACC-0000035","OUT","20812.00","IDR","2026-04-01T10:52:55+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-1471785","Rahmat Gilang Anggraini","ID","","DEV-000098","198.51.100.132","SETTLED"
"TXN-000001386","ACC-0000040","IN","204197.00","IDR","2026-04-01T17:28:48+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-5000848","Citra Setiawan","ID","MER-00007","DEV-000051","198.51.100.210","SETTLED"
"TXN-000001972","ACC-0000063","IN","59666.00","IDR","2026-04-01T07:28:35+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-8606713","Dian Kusuma","ID","MER-00008","DEV-000074","198.51.100.240","SETTLED"
"TXN-000002027","ACC-0000064","OUT","74027.00","IDR","2026-04-01T15:01:31+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-8475258","Ir. Fajar Gunawan","ID","","DEV-000073","198.51.100.223","SETTLED"
"TXN-000002173","ACC-0000070","IN","913738.00","IDR","2026-04-01T15:25:29+07:00","2026-04-01","QRIS","MERCHANT_PAYMENT","EXT-7088280","Oki Wijaya","ID","MER-00006","DEV-000020","198.51.100.27","SETTLED"
"TXN-000002323","ACC-0000077","OUT","10844.00","IDR","01/04/2026 09:02","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-8173589","Ir. Kartika Siti Nugroho","ID","","DEV-000078","198.51.100.252","SETTLED"
"TXN-000003060","ACC-0000097","IN","62116.00","IDR","2026-04-01T10:07:18+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-6479644","Hj. Mega Vina Setiawan","ID","","DEV-000018","198.51.100.235","SETTLED"
"TXN-000003257","ACC-0000102","IN","95683.00","IDR","2026-04-01T18:31:45+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-5263507","Adi Siregar","ID","","","203.0.113.205","SETTLED"
"TXN-000003261","ACC-0000102","IN","5472.00","IDR","2026-04-01T06:15:56+07:00","2026-04-01","PAYMENT","BILL_PAYMENT","EXT-5506335","Wahyu Adi Simatupang","ID","","DEV-000012","203.0.113.109","PENDING"
"TXN-000003313","ACC-0000104","OUT","330772.00","IDR","2026-04-01T16:05:57+07:00","2026-04-01","TOPUP","WALLET_TOPUP","EXT-7744339","Eka Situmorang","ID","","DEV-000060","203.0.113.250","SETTLED"
"TXN-000003331","ACC-9552603","OUT","37907.00","IDR","2026-04-01T18:59:50+07:00","2026-04-01","TRANSFER","P2P_TRANSFER","EXT-3538807","Iwan Kusuma","ID","","DEV-000011","203.0.113.4","SETTLED"
"TXN-000003614","ACC-0000127","IN","311652.00","IDR","2026-04-01T11:27:59+07:00","2026-04-01","PAYMENT","MERCHANT_PAYMENT","EXT-2135095","Hj. Citra Gunawan","ID","MER-00004","DEV-000009","198.51.100.14","SETTLED"
"TXN-000003709","ACC-0000129","IN","675141.00","IDR","2026-04-01T14:24:19+07:00","2026-04-01","PAYMENT","MERCHANT_PAYMENT","EXT-2443349","Mega Rina Hidayat","ID","MER-00008","DEV-000019","198.51.100.66","SETTLED"
"TXN-000003710","ACC-0000129","IN","485006.00","IDR","2026-04-01T22:52:17+07:00","2026-04-01","PAYMENT","MERCHANT_PAYMENT","EXT-3828010","Hadi Hadi Maulana","ID","MER-00011","DEV-000019","203.0.113.6","SETTLED"
"TXN-000003739","ACC-0000130","IN","110899.00","IDR","2026-04-01T09:13:03+07:00","2026-04-01","PAYMENT","MERCHANT_PAYMENT","EXT-5587785","Indah Permana","ID","MER-00014","DEV-000071","198.51.100.184","SETTLED"
"TXN-000000296","ACC-0000011","OUT","25232.00","IDR","2026-04-02T11:11:20+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-9833586","Bayu Hidayat","ID","MER-00004","DEV-000084","203.0.113.44","SETTLED"
"TXN-000000393","ACC-0000013","OUT","178149.00","IDR","2026-04-02T22:17:10+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-4012356","Dra. Indah Sari Siregar","ID","","DEV-000062","198.51.100.131","SETTLED"
"TXN-000000464","ACC-0000014","IN","129764.00","IDR","2026-04-02T20:06:08+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-1031249","Hj. Kartika Pratama","ID","","DEV-000081","203.0.113.139","SETTLED"
"TXN-000000481","ACC-0000015","OUT","125758.00","IDR","2026-04-02T20:13:28+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-7658362","Kartika Citra Anggraini","ID","","DEV-000063","198.51.100.54","SETTLED"
"TXN-000000549","ACC-0000015","IN","79510.00","IDR","2026-04-02T09:31:28+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-6940417","Bayu Ramadhan","ID","","DEV-000063","203.0.113.94","SETTLED"
"TXN-000000687","ACC-0000020","IN","2503.00","IDR","2026-04-02T08:39:18+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-9555355","Umi Hidayat","ID","","DEV-000068","203.0.113.57","SETTLED"
"TXN-000000728","ACC-0000021","OUT","120330.00","IDR","2026-04-02T15:58:41+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-5248191","Hj. Siti Setiawan","ID","","DEV-000007","198.51.100.174","SETTLED"
"TXN-000000779","ACC-0000022","OUT","123505.00","IDR","2026-04-02T08:23:08+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-1661320","Ir. Bayu Permana","ID","","","203.0.113.160","SETTLED"
"TXN-000000930","ACC-0000025","IN","-125000.00","IDR","2026-04-02T22:28:51+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-5456752","Wulan Wijaya","ID","","DEV-000016","198.51.100.74","SETTLED"
"TXN-000001051","ACC-0000029","OUT","27646.00","IDR","2026-04-02T14:28:00+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-5331018","Drs. Joko Lubis","ID","","DEV-000028","198.51.100.27","SETTLED"
"TXN-000001136","ACC-0000031","OUT","385899.00","IDR","2026-04-02T18:19:26+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-1265073","Tono Lubis","ID","","DEV-000026","203.0.113.199","SETTLED"
"TXN-000001144","ACC-0000031","OUT","98086.00","IDR","2026-04-02T21:23:14+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-9871175","Mega Anggun Nugroho","ID","MER-00009","","203.0.113.127","SETTLED"
"TXN-000001218","ACC-0000032","OUT","83849.00","IDR","2026-04-02T15:33:22+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-8303763","Rina Siti Lubis","ID","","DEV-000077","198.51.100.163","SETTLED"
"TXN-000001338","ACC-0000036","OUT","61692.00","IDR","2026-04-02T18:12:58+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-8870251","Sari Simatupang","ID","MER-00014","DEV-000014","203.0.113.131","SETTLED"
"TXN-000001370","ACC-0000040","IN","263841.00","IDR","2026-04-02T16:50:46+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-4129001","Hj. Dewi Setiawan","ID","","DEV-000051","203.0.113.138","SETTLED"
"TXN-000001468","ACC-0000043","OUT","30628.00","IDR","2026-04-02T09:34:46+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-6138352","Anggun Santoso","ID","","DEV-000031","198.51.100.191","SETTLED"
"TXN-000001576","ACC-0000049","OUT","175831.00","IDR","2026-04-02T17:36:18+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-1782453","Ir. Wulan Saputra","ID","","DEV-000045","198.51.100.110","SETTLED"
"TXN-000001755","ACC-0000055","OUT","151800.00","IDR","2026-04-02T14:43:34+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-1652512","Hj. Putri Hartono","ID","","DEV-000001","198.51.100.167","SETTLED"
"TXN-000001846","ACC-0000057","OUT","88455.00","IDR","2026-04-02T06:37:34+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-8116703","Drs. Fajar Hidayat","ID","","","198.51.100.183","SETTLED"
"TXN-000002066","ACC-0000065","OUT","28589.00","IDR","2026-04-02T22:15:09+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-6617082","Putri Anggraini","ID","MER-00006","DEV-000016","203.0.113.115","SETTLED"
"TXN-000002087","ACC-0000066","IN","143250.00","IDR","2026-04-02T06:36:08+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-4939740","Drs. Nanda Suryadi","ID","MER-00009","DEV-000038","198.51.100.52","SETTLED"
"TXN-000002309","ACC-0000076","OUT","2591.00","IDR","2026-04-02T12:06:59+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-4881109","Ir. Siti Hidayat","ID","","DEV-000067","198.51.100.238","SETTLED"
"TXN-000002412","ACC-0000080","IN","24088.00","IDR","2026-04-02T08:28:50+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-2841298","Ir. Kartika Permana","ID","","DEV-000038","198.51.100.58","SETTLED"
"TXN-000002595","ACC-0000084","OUT","141036.00","IDR","2026-04-02T09:23:10+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-6287160","Gita Kusuma","ID","","DEV-000071","198.51.100.144","SETTLED"
"TXN-000002705","ACC-0000087","IN","133904.00","IDR","2026-04-02T18:38:09+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-8298444","Dra. Lestari Ramadhan","ID","","DEV-000094","203.0.113.150","SETTLED"
"TXN-000002769","ACC-0000091","OUT","81560.00","IDR","2026-04-02T12:52:38+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-3220378","Rina Saputra","ID","","DEV-000079","198.51.100.85","SETTLED"
"TXN-000002827","ACC-0000092","IN","4974.00","IDR","2026-04-02T22:28:50+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-2909453","Dra. Gita Dewi Hartono","ID","","DEV-000066","203.0.113.145","SETTLED"
"TXN-000002940","ACC-0000094","IN","80006.00","IDR","2026-04-02T11:04:10+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-1565712","Cahya Wijaya","ID","","DEV-000089","198.51.100.141","SETTLED"
"TXN-000003028","ACC-0000097","OUT","52564.00","IDR","2026-04-02T20:11:11+07:00","2026-04-02","PAYMENT","BILL_PAYMENT","EXT-4584567","Ayu Vina Situmorang","ID","","DEV-000018","198.51.100.53","SETTLED"
"TXN-000003077","ACC-0000097","OUT","89937.00","IDR","2026-04-02T15:35:02+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-7940532","Rahmat Simatupang","ID","MER-00014","DEV-000018","198.51.100.216","PENDING"
"TXN-000003230","ACC-0000101","OUT","352285.00","IDR","2026-04-02T17:39:26+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-1585717","Gita Maulana","ID","MER-00015","DEV-000064","198.51.100.142","SETTLED"
"TXN-000003336","ACC-0000105","OUT","32465.00","IDR","2026-04-02T17:25:20+07:00","2026-04-02","TOPUP","WALLET_TOPUP","EXT-9546405","H. Gilang Nanda Simatupang","ID","","DEV-000011","198.51.100.106","SETTLED"
"TXN-000003369","ACC-0000106","OUT","122090.00","IDR","2026-04-02T16:58:57+07:00","2026-04-02","QRIS","MERCHANT_PAYMENT","EXT-6877512","Ir. Yuda Gilang Hidayat","ID","MER-00007","DEV-000034","198.51.100.34","SETTLED"
"TXN-000003433","ACC-0000107","OUT","13554.00","IDR","2026-04-02T18:24:09+07:00","2026-04-02","TRANSFER","P2P_TRANSFER","EXT-7030025","H. Nanda Setiawan","ID","","DEV-000003","198.51.100.137","SETTLED"
"TXN-000003520","ACC-0000121","IN","144791.00","IDR","2026-04-02T13:26:56+07:00","2026-04-02","PAYMENT","MERCHANT_PAYMENT","EXT-3952671","Drs. Fajar Santoso","ID","MER-00001","DEV-000048","203.0.113.22","SETTLED"
"TXN-000003603","ACC-0000127","IN","977490.00","IDR","2026-04-02T19:21:22+07:00","2026-04-02","PAYMENT","MERCHANT_PAYMENT","","Adi Situmorang","ID","MER-00007","DEV-000088","198.51.100.71","SETTLED"
"TXN-000003695","ACC-0000129","IN","467134.00","IDR","2026-04-02T17:11:37+07:00","2026-04-02","PAYMENT","MERCHANT_PAYMENT","EXT-8816028","Hj. Umi Umi Halim","ID","MER-00004","DEV-000019","203.0.113.1","SETTLED"
"TXN-000000295","ACC-0000009","IN","114226.00","IDR","2026-04-03T09:44:46+07:00","2026-04-03","TRANSFER","P2P_TRANSFER","EXT-4061705","Sari Setiawan","ID","","DEV-000009","203.0.113.53","SETTLED"
"TXN-000000508","ACC-0000015","OUT","13076.00","IDR","2026-04-03T08:40:17+07:00","2026-04-03","TOPUP","WALLET_TOPUP","EXT-7511051","Gilang Pratama","ID","","DEV-000063","198.51.100.19","SETTLED"
"TXN-000000540","ACC-0000015","OUT","224195.00","IDR","2026-04-03T09:16:26+07:00","2026-04-03","PAYMENT","BILL_PAYMENT","EXT-7837547","Hj. Anggun Ramadhan","ID","","DEV-000063","203.0.113.14","SETTLED"
"TXN-000000558","ACC-0000016","IN","552035.00","IDR","2026-04-03T07:25:05+07:00","2026-04-03","TOPUP","WALLET_TOPUP","EXT-5167881","Adi Bayu Saputra","ID","","DEV-000046","198.51.100.21","PENDING"
"TXN-000000857","ACC-0000023","OUT","20987.00","IDR","2026-04-03T11:51:35+07:00","2026-04-03","TOPUP","WALLET_TOPUP","EXT-3060898","Vina Maulana","ID","","DEV-000086","198.51.100.125","SETTLED"
"TXN-000001111","ACC-0000031","OUT","577584.00","IDR","2026-04-03T17:35:00+07:00","2026-04-03","PAYMENT","BILL_PAYMENT","EXT-2167598","Adi Suryadi","ID","","DEV-000026","203.0.113.65","PENDING"
"TXN-000001185","ACC-0000032","IN","156888.00","IDR","2026-04-03T11:54:47+07:00","2026-04-03","QRIS","MERCHANT_PAYMENT","EXT-8694314","Drs. Oki Anggraini","ID","MER-00014","DEV-000077","203.0.113.34","SETTLED"
"TXN-000001207","ACC-0000032","OUT","169516.00","IDR","2026-04-03T19:52:26+07:00","2026-04-03","QRIS","MERCHANT_PAYMENT","EXT-6564432","Indah Hidayat","ID","MER-00011","DEV-000077","198.51.100.101","SETTLED"
"TXN-000001486","ACC-0000043","OUT","65370.00","IDR","2026-04-03T07:01:49+07:00","2026-04-03","QRIS","MERCHANT_PAYMENT","EXT-7205680","Drs. Tono Suryadi","ID","MER-00006","DEV-000031","198.51.100.183","SETTLED"
"TXN-000001663","ACC-0000051","OUT","128466.00","IDR","2026-04-03T13:46:26+07:00","2026-04-03","QRIS","MERCHANT_PAYMENT","EXT-9132552","H. Oki Suryadi","ID","MER-00005","DEV-000054","198.51.100.16","SETTLED"
"TXN-000001741","ACC-0000055","OUT","48434.00","IDR","2026-04-03T20:46:38+07:00","2026-04-03","PAYMENT","BILL_PAYMENT","EXT-7407519","Gilang Pratama","ID","","DEV-000001","203.0.113.250","SETTLED"
"TXN-000002286","ACC-0000076","OUT","15032.00","IDR","2026-04-03T20:20:50+07:00","2026-04-03","TOPUP","WALLET_TOPUP","EXT-4380476","Ir. Rina Siregar","ID","","DEV-000067","198.51.100.36","SETTLED"
"TXN-000003088","ACC-0000098","OUT","101116.00","IDR","2026-04-03T08:21:28+07:00","2026-04-03","QRIS","MERCHANT_PAYMENT","EXT-3029293","Citra Kartika Gunawan","ID","MER-00014","DEV-000007","203.0.113.2","SETTLED"
"TXN-000003216","ACC-0000101","IN","69707.00","IDR","2026-04-03T11:37:38+07:00","2026-04-03","TOPUP","WALLET_TOPUP","EXT-9833534","Ir. Mega Situmorang","ID","","DEV-000064","203.0.113.248","SETTLED"
"TXN-000003341","ACC-0000105","OUT","173635.00","IDR","2026-04-03T19:28:38+07:00","2026-04-03","PAYMENT","BILL_PAYMENT","EXT-7589567","H. Gilang Gilang Hartono","ID","","DEV-000011","198.51.100.224","SETTLED"
"TXN-000003778","ACC-0000131","IN","209555.00","IDR","2026-04-03T19:20:06+07:00","2026-04-03","PAYMENT","MERCHANT_PAYMENT","EXT-6448957","Wulan Maulana","ID","MER-00011","DEV-000058","198.51.100.27","SETTLED"
"TXN-000000477","ACC-0000014","IN","17238.00","IDR","2026-04-04T21:29:04+07:00","2026-04-04","QRIS","MERCHANT_PAYMENT","EXT-9691619","Ir. Rahmat Situmorang","ID","MER-00001","DEV-000081","203.0.113.104","SETTLED"
"TXN-000000623","ACC-0000019","IN","60282.00","IDR","2026-04-04T18:52:58+07:00","2026-04-04","PAYMENT","BILL_PAYMENT","EXT-6154746","Siti Situmorang","ID","","DEV-000032","198.51.100.248","SETTLED"
"TXN-000000646","ACC-0000019","OUT","99892.00","IDR","2026-04-04T10:24:39+07:00","2026-04-04","QRIS","MERCHANT_PAYMENT","EXT-6837870","Ir. Citra Anggraini","ID","MER-00003","DEV-000032","203.0.113.189","SETTLED"
"TXN-000000673","ACC-0000020","OUT","91831.00","IDR","2026-04-04T11:07:35+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-1832710","Wahyu Hidayat","ID","","DEV-000068","203.0.113.49","SETTLED"
"TXN-000001069","ACC-0000028","OUT","24176.00","IDR","2026-04-04T08:02:10+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-7835240","Sari Setiawan","ID","","DEV-000028","203.0.113.187","SETTLED"
"TXN-000001086","ACC-0000030","IN","8113.00","IDR","2026-04-04T19:42:06+07:00","2026-04-04","PAYMENT","BILL_PAYMENT","EXT-4205369","Eka Ramadhan","ID","","DEV-000091","198.51.100.121","SETTLED"
"TXN-000001205","ACC-0000032","OUT","75689.00","IDR","2026-04-04T20:14:28+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-8226371","Gilang Saputra","ID","","DEV-000077","203.0.113.238","SETTLED"
"TXN-000002080","ACC-0000066","OUT","136471.00","IDR","2026-04-04T21:17:04+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-9898497","Putri Suryadi","ID","","DEV-000038","198.51.100.125","PENDING"
"TXN-000002381","ACC-0000079","OUT","62531.00","IDR","2026-04-04T16:18:37+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-9898429","Joko Situmorang","ID","","DEV-000057","198.51.100.204","SETTLED"
"TXN-000002593","ACC-0000084","IN","298689.00","IDR","2026-04-04T09:48:36+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-2895280","Dewi Dewi Siregar","ID","","DEV-000071","203.0.113.55","PENDING"
"TXN-000002699","ACC-0000087","OUT","14315.00","IDR","2026-04-04T19:31:53+07:00","2026-04-04","TRANSFER","P2P_TRANSFER","EXT-7502094","Hadi Ramadhan","ID","","DEV-000094","198.51.100.209","SETTLED"
"TXN-000003535","ACC-0000122","IN","509965.00","IDR","2026-04-04T10:23:13+07:00","2026-04-04","PAYMENT","MERCHANT_PAYMENT","EXT-4877558","H. Wahyu Eka Santoso","ID","MER-00008","DEV-000064","198.51.100.90","SETTLED"
"TXN-000000112","ACC-0000003","OUT","438584.00","IDR","2026-04-05T15:20:20+07:00","2026-04-05","PAYMENT","BILL_PAYMENT","EXT-6159673","Ir. Dewi Situmorang","ID","","DEV-000023","203.0.113.22","SETTLED"
"TXN-000001334","ACC-0000036","OUT","263431.00","IDR","2026-04-05T12:18:20+07:00","2026-04-05","TRANSFER","P2P_TRANSFER","EXT-2736510","Iwan Bagus Situmorang","ID","","DEV-000014","203.0.113.202","SETTLED"
"TXN-000001699","ACC-0000053","OUT","94146.00","IDR","2026-04-05T16:07:40+07:00","2026-04-05","QRIS","MERCHANT_PAYMENT","EXT-5500161","Dra. Rina Kartika Halim","ID","MER-00004","DEV-000038","203.0.113.24","SETTLED"
"TXN-000001726","ACC-0000054","OUT","241286.00","IDR","2026-04-05T21:16:30+07:00","2026-04-05","PAYMENT","BILL_PAYMENT","EXT-6596793","Umi Setiawan","ID","","DEV-000038","198.51.100.182","SETTLED"
"TXN-000003080","ACC-0000098","IN","9606.00","IDR","2026-04-05T06:56:17+07:00","2026-04-05","PAYMENT","BILL_PAYMENT","EXT-7627151","Dra. Rina Kusuma","ID","","DEV-000091","198.51.100.210","PENDING"
"TXN-000003292","ACC-0000103","IN","28251.00","IDR","2026-04-05T19:21:19+07:00","2026-04-05","TRANSFER","P2P_TRANSFER","EXT-9018131","Dra. Kartika Citra Santoso","ID","","DEV-000083","203.0.113.136","SETTLED"
