"source_bo_id","source_business_id","full_name","date_of_birth","nationality","ownership_percentage","control_type","declared_date"
"BO-00019","BUS-00007","Citra Kusuma","1965-03-27","ID","74.40","BOARD_CONTROL","2025-02-05"
"BO-00020","BUS-00007","Drs. Nanda Simatupang","1957-11-03","ID","14.21","BOARD_CONTROL","2024-02-03"
"BO-00021","BUS-00007","Hj. Anggun Rina Siregar","1958-06-02","ID","11.39","OWNERSHIP","2023-10-17"
"BO-00022","BUS-00008","Hj. Umi Situmorang","1996-10-09","ID","25.31","VOTING_RIGHTS","2023-12-06"
"BO-00023","BUS-00008","Hj. Dewi Kusuma","1981-10-18","ID","45.76","VOTING_RIGHTS","2024-10-09"
"BO-00024","BUS-00008","Mega Kusuma","1998-04-10","ID","15.06","OTHER_SIGNIFICANT_INFLUENCE","2024-07-10"
"BO-00025","BUS-00008","Dra. Sari Wijaya","1955-08-23","ID","13.87","VOTING_RIGHTS","2025-04-30"
"BO-00026","BUS-00009","Kartika Siti Ramadhan","1973-11-26","ID","89.58","BOARD_CONTROL","2024-01-23"
"BO-00027","BUS-00009","Gita Simatupang","1967-09-06","ID","10.01","OWNERSHIP","2024-03-29"
"BO-00028","BUS-00010","Ir. Vina Ayu Santoso","1959-09-20","ID","81.83","BOARD_CONTROL","2024-06-13"
"BO-00029","BUS-00010","H. Cahya Joko Suryadi","1965-04-01","ID","10.31","OWNERSHIP","2024-07-23"
"BO-00030","BUS-00011","Ayu Simatupang","1998-08-05","ID","24.00","VOTING_RIGHTS","2025-05-28"
"BO-00031","BUS-00011","Zahra Hidayat","1994-03-13","ID","76.00","OTHER_SIGNIFICANT_INFLUENCE","2023-10-20"
"BO-00032","BUS-00012","Kartika Simatupang","1983-07-20","ID","100.00","OWNERSHIP","2025-11-27"
"BO-00033","BUS-00013","H. Fajar Hidayat","1957-02-22","ID","57.81","VOTING_RIGHTS","2024-07-10"
"BO-00034","BUS-00013","Iwan Gunawan","1964-03-22","ID","42.19","OWNERSHIP","2025-02-28"
"BO-00035","BUS-00014","Bayu Situmorang","1990-10-10","ID","23.41","OTHER_SIGNIFICANT_INFLUENCE","2024-10-13"
"BO-00036","BUS-00014","Anggun Anggraini","1969-04-11","ID","17.52","BOARD_CONTROL","2025-11-21"
"BO-00037","BUS-00014","Ir. Nanda Permana","1986-08-28","ID","36.06","OWNERSHIP","2025-09-19"
"BO-00038","BUS-00014","Drs. Eka Eka Halim","1961-08-23","ID","23.01","VOTING_RIGHTS","2024-02-25"
"BO-00039","BUS-00015","Wulan Ayu Hidayat","1985-11-16","ID","70.32","OWNERSHIP","2023-12-25"
"BO-00040","BUS-00015","Hj. Zahra Gunawan","1987-11-10","ID","29.68","OTHER_SIGNIFICANT_INFLUENCE","2024-07-31"
"BO-00041","BUS-00016","Drs. Bayu Bagus Hartono","1963-03-03","ID","62.52","VOTING_RIGHTS","2024-06-21"
"BO-00042","BUS-00016","Ir. Eka Situmorang","1967-09-03","ID","11.30","VOTING_RIGHTS","2024-11-30"
"BO-00043","BUS-00016","Hj. Rina Indah Hidayat","1971-11-21","ID","10.28","VOTING_RIGHTS","2024-06-03"
"BO-00044","BUS-00016","Iwan Simatupang","1999-04-03","ID","15.90","OTHER_SIGNIFICANT_INFLUENCE","2023-12-21"
"BO-00045","BUS-00017","Lestari Simatupang","1986-11-14","ID","30.31","OTHER_SIGNIFICANT_INFLUENCE","2025-05-19"
"BO-00046","BUS-00017","Ir. Siti Hidayat","1992-11-01","ID","14.10","OWNERSHIP","2024-08-01"
"BO-00047","BUS-00017","Iwan Permana","1979-11-18","ID","55.59","OWNERSHIP","2025-01-10"
"BO-00048","BUS-00018","Zahra Simatupang","1969-06-15","ID","57.37","OWNERSHIP","2024-04-25"
"BO-00049","BUS-00018","Rina Putri Suryadi","1980-09-18","ID","15.44","VOTING_RIGHTS","2025-10-08"
"BO-00050","BUS-00018","Ir. Anggun Ayu Ramadhan","1965-09-18","ID","12.56","OWNERSHIP","2024-02-28"
"BO-00051","BUS-00018","Zahra Hidayat","1988-02-18","ID","14.63","BOARD_CONTROL","2025-03-29"
"BO-00052","BUS-00019","Bagus Maulana","1990-04-28","ID","27.83","VOTING_RIGHTS","2024-09-16"
"BO-00053","BUS-00019","Nanda Saputra","1973-04-06","ID","17.00","OWNERSHIP","2024-02-24"
"BO-00054","BUS-00019","Siti Setiawan","1965-05-03","ID","22.62","OWNERSHIP","2024-02-05"
"BO-00055","BUS-00019","Ir. Lestari Gunawan","1971-10-10","ID","32.55","BOARD_CONTROL","2024-06-09"
"BO-00056","BUS-00020","Oki Ramadhan","1975-09-08","ID","54.64","OWNERSHIP","2025-05-27"
"BO-00057","BUS-00020","Mega Saputra","1990-08-26","ID","19.92","OWNERSHIP","2024-10-10"
"BO-00058","BUS-00020","Siti Permana","1988-06-26","ID","25.44","OWNERSHIP","2024-03-06"
"BO-00059","BUS-00021","Gita Gita Maulana","1984-11-12","ID","48.26","VOTING_RIGHTS","2024-09-10"
"BO-00060","BUS-00021","Ir. Mega Siti Lubis","1993-09-22","ID","35.86","OTHER_SIGNIFICANT_INFLUENCE","2023-11-07"
"BO-00061","BUS-00021","Bayu Fajar Santoso","1957-03-04","ID","15.88","OWNERSHIP","2025-07-20"
"BO-00062","BUS-00022","Sari Siregar","1961-02-18","ID","67.26","OTHER_SIGNIFICANT_INFLUENCE","2024-11-15"
"BO-00063","BUS-00022","Oki Situmorang","1975-03-05","ID","16.23","OTHER_SIGNIFICANT_INFLUENCE","2023-11-13"
"BO-00064","BUS-00022","Siti Hartono","1962-10-13","ID","10.03","VOTING_RIGHTS","2024-10-03"
"BO-00065","BUS-00023","Adi Anggraini","1983-07-12","ID","64.85","OTHER_SIGNIFICANT_INFLUENCE","2025-01-24"
"BO-00066","BUS-00023","Dewi Siregar","1986-03-15","ID","16.37","VOTING_RIGHTS","2025-11-04"
"BO-00067","BUS-00023","Ir. Bayu Oki Saputra","1992-07-01","ID","10.63","BOARD_CONTROL","2024-04-10"
"BO-00068","BUS-00024","Dra. Dewi Maulana","1955-08-26","ID","42.42","OTHER_SIGNIFICANT_INFLUENCE","2024-12-18"
"BO-00069","BUS-00024","Wulan Ramadhan","1984-08-27","ID","26.31","BOARD_CONTROL","2025-02-21"
"BO-00070","BUS-00024","Kartika Suryadi","1974-08-07","ID","10.69","BOARD_CONTROL","2026-01-17"
"BO-00071","BUS-00024","Sari Kusuma","1988-07-04","ID","20.58","OWNERSHIP","2026-02-10"
"BO-00072","BUS-00025","Fajar Saputra","1966-02-25","ID","50.76","VOTING_RIGHTS","2024-01-30"
"BO-00073","BUS-00025","Gilang Hidayat","1989-06-23","ID","16.66","OTHER_SIGNIFICANT_INFLUENCE","2024-12-26"
"BO-00074","BUS-00025","Hj. Gita Ayu Hartono","1974-12-11","ID","22.21","VOTING_RIGHTS","2024-09-13"
"BO-00075","BUS-00025","Putri Indah Lubis","1963-05-20","ID","10.37","OWNERSHIP","2024-12-24"
"BO-00076","BUS-00026","Drs. Nanda Wijaya","1955-11-24","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-03-31"
"BO-00077","BUS-00027","Ir. Sari Hidayat","1979-11-28","ID","68.99","VOTING_RIGHTS","2023-12-29"
"BO-00078","BUS-00027","Umi Gunawan","1986-11-02","ID","17.00","OTHER_SIGNIFICANT_INFLUENCE","2024-05-01"
"BO-00079","BUS-00027","Ir. Indah Dewi Situmorang","1993-11-18","ID","10.68","BOARD_CONTROL","2025-01-08"
"BO-00080","BUS-00028","Tono Hidayat","1975-10-13","ID","19.75","OTHER_SIGNIFICANT_INFLUENCE","2024-12-29"
"BO-00081","BUS-00028","Zahra Santoso","1981-07-24","ID","65.43","OTHER_SIGNIFICANT_INFLUENCE","2024-06-05"
"BO-00082","BUS-00028","Dewi Siti Hartono","1963-07-11","ID","10.21","VOTING_RIGHTS","2025-04-27"
"BO-00083","BUS-00029","Wahyu Hadi Siregar","1967-09-27","ID","66.19","VOTING_RIGHTS","2024-07-30"
"BO-00084","BUS-00029","Drs. Hadi Nugroho","1996-04-05","ID","33.81","BOARD_CONTROL","2025-12-29"
"BO-00085","BUS-00030","Citra Hidayat","1995-06-26","ID","100.00","VOTING_RIGHTS","2025-08-16"
"BO-00086","BUS-00031","Wahyu Yuda Situmorang","1999-09-04","ID","75.91","OWNERSHIP","2024-09-20"
"BO-00087","BUS-00031","Umi Permana","1982-08-21","ID","10.41","OTHER_SIGNIFICANT_INFLUENCE","2023-10-17"
"BO-00088","BUS-00031","Rina Hartono","1956-01-09","ID","13.68","OTHER_SIGNIFICANT_INFLUENCE","2025-06-19"
"BO-00089","BUS-00032","Nanda Nanda Hartono","1966-04-01","ID","89.28","BOARD_CONTROL","2024-02-21"
"BO-00090","BUS-00032","Ir. Rahmat Kusuma","1985-11-01","ID","10.29","OTHER_SIGNIFICANT_INFLUENCE","2025-10-11"
"BO-00091","BUS-00033","Dra. Mega Saputra","1996-08-14","ID","81.01","OWNERSHIP","2026-01-25"
"BO-00092","BUS-00033","Zahra Pratama","1968-11-02","ID","10.84","VOTING_RIGHTS","2024-10-27"
"BO-00093","BUS-00034","H. Cahya Halim","1956-07-03","ID","47.01","VOTING_RIGHTS","2024-09-23"
"BO-00094","BUS-00034","Ir. Hadi Maulana","1996-05-09","ID","21.97","OTHER_SIGNIFICANT_INFLUENCE","2025-10-29"
"BO-00095","BUS-00034","Ir. Cahya Wahyu Halim","1971-06-08","ID","31.02","OTHER_SIGNIFICANT_INFLUENCE","2024-03-31"
"BO-00096","BUS-00035","Ir. Citra Siregar","1974-06-08","ID","77.27","VOTING_RIGHTS","2025-03-06"
"BO-00097","BUS-00035","Anggun Siti Situmorang","1967-05-04","ID","11.75","VOTING_RIGHTS","2024-10-11"
"BO-00098","BUS-00035","Bagus Kusuma","1982-04-05","ID","10.14","BOARD_CONTROL","2025-12-26"
"BO-00099","BUS-00036","Dra. Rina Santoso","1969-08-12","ID","34.91","OWNERSHIP","2023-11-16"
"BO-00100","BUS-00036","Zahra Situmorang","1981-03-12","ID","52.66","VOTING_RIGHTS","2023-12-06"
"BO-00101","BUS-00036","Iwan Situmorang","1981-04-11","ID","12.43","OTHER_SIGNIFICANT_INFLUENCE","2025-09-13"
"BO-00102","BUS-00037","Iwan Siregar","1978-02-13","ID","23.55","BOARD_CONTROL","2026-01-04"
"BO-00103","BUS-00037","Bagus Hartono","1961-01-10","ID","76.45","OWNERSHIP","2025-09-16"
"BO-00104","BUS-00038","H. Cahya Hartono","1984-04-18","ID","40.92","BOARD_CONTROL","2025-01-23"
"BO-00105","BUS-00038","Nanda Permana","1976-02-08","ID","59.08","BOARD_CONTROL","2024-12-28"
"BO-00106","BUS-00039","Drs. Bayu Halim","1973-11-16","ID","100.00","OWNERSHIP","2025-01-07"
"BO-00107","BUS-00040","Oki Eka Situmorang","1984-11-21","ID","100.00","VOTING_RIGHTS","2024-02-25"
"BO-00108","BUS-00041","Rina Putri Santoso","1981-05-25","ID","10.87","VOTING_RIGHTS","2024-04-16"
"BO-00109","BUS-00041","Dewi Hidayat","1973-03-18","ID","49.72","VOTING_RIGHTS","2024-10-30"
"BO-00110","BUS-00041","Lestari Umi Santoso","1988-09-21","ID","23.20","BOARD_CONTROL","2024-10-17"
"BO-00111","BUS-00041","Gita Simatupang","1997-12-21","ID","16.21","OWNERSHIP","2025-03-26"
"BO-00112","BUS-00042","Vina Hartono","1997-01-18","ID","82.29","OWNERSHIP","2024-01-13"
"BO-00113","BUS-00042","Yuda Saputra","1974-12-20","ID","17.71","BOARD_CONTROL","2025-01-27"
"BO-00114","BUS-00043","Iwan Kusuma","1971-03-26","ID","100.00","OWNERSHIP","2024-05-08"
"BO-00115","BUS-00044","Dian Nugroho","1967-08-16","ID","27.91","BOARD_CONTROL","2025-01-22"
"BO-00116","BUS-00044","Hj. Zahra Siregar","1988-03-09","ID","72.09","BOARD_CONTROL","2025-02-09"
"BO-00117","BUS-00045","Drs. Rahmat Siregar","1998-10-19","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-10-22"
"BO-00118","BUS-00046","Hj. Siti Lubis","1966-01-20","ID","58.74","VOTING_RIGHTS","2025-12-14"
"BO-00119","BUS-00046","Rahmat Bayu Halim","1988-05-01","ID","41.26","OWNERSHIP","2024-04-24"
"BO-00120","BUS-00047","Dra. Kartika Lubis","1985-09-13","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-03-01"
"BO-00121","BUS-00048","Iwan Ramadhan","1986-12-03","ID","78.39","OTHER_SIGNIFICANT_INFLUENCE","2024-09-19"
"BO-00122","BUS-00048","Putri Hartono","1967-08-09","ID","21.61","OWNERSHIP","2025-08-09"
"BO-00123","BUS-00049","Vina Kusuma","1970-03-19","ID","69.90","VOTING_RIGHTS","2025-04-15"
"BO-00124","BUS-00049","Drs. Tono Permana","1982-03-26","ID","18.06","BOARD_CONTROL","2025-11-10"
"BO-00125","BUS-00049","Indah Putri Setiawan","1972-09-10","ID","12.04","OWNERSHIP","2023-11-21"
"BO-00126","BUS-00050","Nanda Wijaya","1996-11-09","ID","100.00","OWNERSHIP","2024-11-01"
"BO-00127","BUS-00051","Ir. Oki Halim","1973-09-04","ID","13.29","OTHER_SIGNIFICANT_INFLUENCE","2025-09-18"
"BO-00128","BUS-00051","Dra. Indah Maulana","1998-02-22","ID","86.71","OWNERSHIP","2024-09-11"
"BO-00129","BUS-00052","Hj. Umi Putri Ramadhan","1956-01-07","ID","53.31","BOARD_CONTROL","2025-02-07"
"BO-00130","BUS-00052","H. Fajar Wahyu Ramadhan","1996-01-17","ID","36.27","VOTING_RIGHTS","2024-06-15"
"BO-00131","BUS-00052","Umi Hartono","1957-01-19","ID","10.42","VOTING_RIGHTS","2025-10-30"
"BO-00132","BUS-00053","Putri Halim","1962-02-14","ID","28.45","VOTING_RIGHTS","2023-12-26"
"BO-00133","BUS-00053","Ir. Eka Hidayat","1963-04-21","ID","57.66","BOARD_CONTROL","2024-01-10"
"BO-00134","BUS-00053","Lestari Gunawan","1998-11-26","ID","10.17","OTHER_SIGNIFICANT_INFLUENCE","2024-04-23"
"BO-00135","BUS-00054","Bagus Anggraini","1971-11-15","ID","100.00","VOTING_RIGHTS","2025-04-02"
"BO-00136","BUS-00055","Dewi Gunawan","1975-08-21","ID","63.90","OTHER_SIGNIFICANT_INFLUENCE","2025-11-03"
"BO-00137","BUS-00055","Nanda Kusuma","1972-06-06","ID","36.10","OWNERSHIP","2024-10-07"
"BO-00138","BUS-00056","Ir. Fajar Eka Hartono","1999-01-19","ID","78.54","BOARD_CONTROL","2024-02-18"
"BO-00139","BUS-00056","Hadi Rahmat Setiawan","1982-07-23","ID","10.30","OTHER_SIGNIFICANT_INFLUENCE","2023-12-22"
"BO-00140","BUS-00056","Putri Gunawan","1986-11-26","ID","11.16","OWNERSHIP","2024-06-03"
"BO-00141","BUS-00057","Lestari Gita Pratama","1975-03-25","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-11-08"
"BO-00142","BUS-00058","Drs. Oki Anggraini","1960-09-09","ID","52.41","OWNERSHIP","2024-01-09"
"BO-00143","BUS-00058","Bagus Gunawan","1963-04-11","ID","30.15","OWNERSHIP","2023-12-25"
"BO-00144","BUS-00058","Rahmat Kusuma","1977-07-25","ID","17.44","OTHER_SIGNIFICANT_INFLUENCE","2025-09-18"
"BO-00145","BUS-00059","Rahmat Hartono","1956-05-16","ID","58.73","OWNERSHIP","2025-11-29"
"BO-00146","BUS-00059","Dra. Indah Indah Ramadhan","1971-01-03","ID","18.24","BOARD_CONTROL","2024-04-18"
"BO-00147","BUS-00059","H. Wahyu Saputra","1983-07-24","ID","11.01","OWNERSHIP","2025-07-16"
"BO-00148","BUS-00059","Siti Mega Hartono","1999-01-06","ID","12.02","OTHER_SIGNIFICANT_INFLUENCE","2025-04-20"
"BO-00149","BUS-00060","Eka Maulana","1963-09-01","ID","35.26","VOTING_RIGHTS","2024-04-14"
"BO-00150","BUS-00060","Ir. Eka Halim","1993-11-28","ID","27.02","OTHER_SIGNIFICANT_INFLUENCE","2024-04-21"
"BO-00151","BUS-00060","H. Dian Bagus Simatupang","1958-08-04","ID","22.27","OTHER_SIGNIFICANT_INFLUENCE","2024-06-29"
"BO-00152","BUS-00060","Gilang Setiawan","1990-06-21","ID","15.45","OWNERSHIP","2025-05-23"
"BO-00153","BUS-00061","H. Wahyu Nanda Simatupang","1961-02-13","ID","23.77","VOTING_RIGHTS","2025-03-21"
"BO-00154","BUS-00061","Wahyu Adi Simatupang","1977-11-07","ID","33.72","OTHER_SIGNIFICANT_INFLUENCE","2023-10-18"
"BO-00155","BUS-00061","Ir. Citra Lubis","1982-12-18","ID","16.64","BOARD_CONTROL","2025-01-02"
"BO-00156","BUS-00061","Hj. Vina Anggraini","1958-02-18","ID","25.87","OTHER_SIGNIFICANT_INFLUENCE","2024-06-28"
"BO-00157","BUS-00062","Zahra Gunawan","1964-12-27","ID","41.06","OTHER_SIGNIFICANT_INFLUENCE","2025-01-20"
"BO-00158","BUS-00062","Bagus Wijaya","1975-10-12","ID","58.94","OWNERSHIP","2025-09-17"
"BO-00159","BUS-00063","Hj. Wulan Situmorang","1973-07-06","ID","29.93","BOARD_CONTROL","2023-10-25"
"BO-00160","BUS-00063","Hadi Permana","1985-10-09","ID","70.07","OWNERSHIP","2024-11-23"
"BO-00161","BUS-00064","Umi Simatupang","1963-06-22","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-04-11"
"BO-00162","BUS-00065","Joko Simatupang","1998-12-22","ID","40.12","VOTING_RIGHTS","2025-02-14"
"BO-00163","BUS-00065","Drs. Cahya Lubis","1956-01-10","ID","27.74","OTHER_SIGNIFICANT_INFLUENCE","2024-01-26"
"BO-00164","BUS-00065","Anggun Anggraini","1973-11-20","ID","32.14","OWNERSHIP","2023-12-28"
"BO-00165","BUS-00066","Iwan Lubis","1965-11-11","ID","16.97","VOTING_RIGHTS","2025-12-17"
"BO-00166","BUS-00066","Umi Kartika Simatupang","1987-06-12","ID","83.03","BOARD_CONTROL","2024-07-08"
"BO-00167","BUS-00067","Bayu Setiawan","1993-09-14","ID","67.86","OWNERSHIP","2023-10-27"
"BO-00168","BUS-00067","Hj. Umi Lubis","1964-04-18","ID","32.14","OWNERSHIP","2026-02-26"
"BO-00169","BUS-00068","Hj. Siti Lubis","1993-04-18","ID","74.10","BOARD_CONTROL","2025-05-15"
"BO-00170","BUS-00068","Dra. Indah Suryadi","1961-12-08","ID","12.80","BOARD_CONTROL","2025-09-09"
"BO-00171","BUS-00068","Wahyu Saputra","1955-02-20","ID","13.10","OTHER_SIGNIFICANT_INFLUENCE","2025-02-23"
"BO-00172","BUS-00069","Ir. Zahra Setiawan","1976-01-26","ID","14.55","BOARD_CONTROL","2025-06-22"
"BO-00173","BUS-00069","Hj. Rina Ramadhan","1963-09-13","ID","85.45","VOTING_RIGHTS","2023-12-19"
"BO-00174","BUS-00070","Dra. Siti Rina Ramadhan","1958-02-25","ID","100.00","BOARD_CONTROL","2025-07-04"
"BO-00175","BUS-00071","Bagus Maulana","1974-08-10","ID","100.00","BOARD_CONTROL","2025-05-15"
"BO-00176","BUS-00072","Putri Wijaya","1991-03-08","ID","14.82","VOTING_RIGHTS","2025-11-09"
"BO-00177","BUS-00072","Drs. Cahya Eka Permana","1982-10-15","ID","27.42","OWNERSHIP","2025-03-13"
"BO-00178","BUS-00072","Hj. Anggun Hartono","1963-09-11","ID","19.52","BOARD_CONTROL","2025-08-25"
"BO-00179","BUS-00072","Eka Anggraini","1975-04-01","ID","38.24","BOARD_CONTROL","2024-05-02"
"BO-00180","BUS-00073","H. Gilang Yuda Suryadi","1994-03-21","ID","85.42","OTHER_SIGNIFICANT_INFLUENCE","2024-02-08"
"BO-00181","BUS-00073","Dra. Vina Hidayat","1969-03-05","ID","10.08","OWNERSHIP","2024-07-08"
"BO-00182","BUS-00074","Zahra Nugroho","1999-06-20","ID","45.73","OTHER_SIGNIFICANT_INFLUENCE","2024-04-22"
"BO-00183","BUS-00074","H. Oki Ramadhan","1962-09-04","ID","54.27","VOTING_RIGHTS","2025-12-15"
"BO-00184","BUS-00075","Ir. Rahmat Nugroho","1992-10-02","ID","70.50","VOTING_RIGHTS","2023-10-23"
"BO-00185","BUS-00075","Eka Halim","1972-02-01","ID","29.50","BOARD_CONTROL","2024-08-27"
"BO-00186","BUS-00076","Ir. Rina Siti Halim","1982-11-27","ID","69.44","OWNERSHIP","2025-08-16"
"BO-00187","BUS-00076","Indah Setiawan","1979-02-08","ID","12.72","OWNERSHIP","2025-05-21"
"BO-00188","BUS-00076","Ir. Vina Ayu Ramadhan","1958-12-15","ID","10.84","OWNERSHIP","2025-06-26"
"BO-00189","BUS-00077","Putri Lubis","1985-11-05","ID","78.98","OWNERSHIP","2024-02-17"
"BO-00190","BUS-00077","Siti Hartono","1990-01-21","ID","21.02","OWNERSHIP","2026-02-12"
"BO-00191","BUS-00078","Dian Siregar","1998-12-16","ID","100.00","BOARD_CONTROL","2025-11-05"
"BO-00192","BUS-00079","Fajar Suryadi","1983-02-23","ID","19.23","VOTING_RIGHTS","2024-02-08"
"BO-00193","BUS-00079","Drs. Bagus Suryadi","1963-03-04","ID","80.77","OTHER_SIGNIFICANT_INFLUENCE","2026-01-22"
"BO-00194","BUS-00080","Ir. Gilang Simatupang","1972-03-01","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2024-09-05"
"BO-00195","BUS-00081","Oki Setiawan","1974-05-04","ID","77.62","VOTING_RIGHTS","2025-12-07"
"BO-00196","BUS-00081","Hj. Indah Hartono","1981-11-12","ID","22.38","OWNERSHIP","2025-01-22"
"BO-00197","BUS-00082","Joko Lubis","1990-01-20","ID","100.00","BOARD_CONTROL","2024-10-05"
"BO-00198","BUS-00083","Umi Ramadhan","1992-02-28","ID","28.87","OWNERSHIP","2025-03-09"
"BO-00199","BUS-00083","Mega Wulan Santoso","1977-12-06","ID","13.50","VOTING_RIGHTS","2023-11-26"
"BO-00200","BUS-00083","Ir. Anggun Halim","1961-08-07","ID","57.63","OTHER_SIGNIFICANT_INFLUENCE","2026-01-09"
"BO-00201","BUS-00084","Siti Situmorang","1974-03-08","ID","89.08","OWNERSHIP","2023-10-26"
"BO-00202","BUS-00084","Tono Siregar","1980-02-27","ID","10.92","BOARD_CONTROL","2025-11-05"
"BO-00203","BUS-00085","Dra. Zahra Indah Ramadhan","1988-08-18","ID","100.00","OTHER_SIGNIFICANT_INFLUENCE","2025-07-08"
"BO-00204","BUS-00086","Bagus Situmorang","1960-11-17","ID","100.00","BOARD_CONTROL","2026-01-22"
"BO-00205","BUS-00087","Wulan Dewi Siregar","1961-05-15","ID","26.42","OTHER_SIGNIFICANT_INFLUENCE","2024-09-25"
"BO-00206","BUS-00087","Rahmat Hartono","1966-08-15","ID","73.58","BOARD_CONTROL","2025-04-23"
"BO-00207","BUS-00088","Dian Tono Siregar","1965-11-05","ID","46.14","VOTING_RIGHTS","2024-10-09"
"BO-00208","BUS-00088","Drs. Iwan Situmorang","1997-06-03","ID","41.47","VOTING_RIGHTS","2025-12-13"
"BO-00209","BUS-00088","Fajar Fajar Anggraini","1958-04-25","ID","10.03","OWNERSHIP","2025-07-02"
"BO-00210","BUS-00089","H. Wahyu Gilang Permana","1999-09-21","ID","100.00","VOTING_RIGHTS","2025-09-02"
"BO-00211","BUS-00090","Eka Joko Siregar","1994-09-14","ID","100.00","BOARD_CONTROL","2024-02-10"
"BO-00212","BUS-00091","Siti Halim","1995-05-10","ID","20.53","OWNERSHIP","2025-02-26"
"BO-00213","BUS-00091","Ir. Dewi Santoso","1955-04-19","ID","30.79","OTHER_SIGNIFICANT_INFLUENCE","2024-07-09"
"BO-00214","BUS-00091","Ir. Hadi Ramadhan","1976-12-12","ID","11.03","BOARD_CONTROL","2025-02-12"
"BO-00215","BUS-00091","Gita Permana","1991-10-03","ID","37.65","OWNERSHIP","2025-03-11"
"BO-00216","BUS-00092","Sari Maulana","1984-09-25","ID","56.72","BOARD_CONTROL","2025-11-23"
"BO-00217","BUS-00092","Sari Suryadi","1967-08-06","ID","28.66","OWNERSHIP","2025-12-23"
"BO-00218","BUS-00092","Sari Santoso","1993-12-12","ID","14.62","BOARD_CONTROL","2024-12-01"
"BO-00219","BUS-00093","Hj. Rina Permana","1995-02-24","ID","100.00","VOTING_RIGHTS","2024-06-30"
"BO-00220","BUS-00094","H. Dian Ramadhan","1973-04-14","ID","15.65","OWNERSHIP","2026-01-04"
"BO-00221","BUS-00094","Yuda Hadi Lubis","1961-09-16","ID","84.35","OTHER_SIGNIFICANT_INFLUENCE","2025-11-18"
"BO-00222","BUS-00096","Ayu Setiawan","1955-02-13","ID","61.60","OTHER_SIGNIFICANT_INFLUENCE","2024-11-11"
"BO-00223","BUS-00096","Ir. Umi Wijaya","1994-05-11","ID","38.40","BOARD_CONTROL","2023-11-23"
"BO-00224","BUS-00097","Ir. Oki Ramadhan","1984-06-23","ID","18.51","VOTING_RIGHTS","2024-06-13"
"BO-00225","BUS-00097","Siti Halim","1969-11-27","ID","20.20","OTHER_SIGNIFICANT_INFLUENCE","2025-05-17"
"BO-00226","BUS-00097","Drs. Yuda Nugroho","1982-10-06","ID","19.27","OTHER_SIGNIFICANT_INFLUENCE","2025-10-08"
"BO-00227","BUS-00097","Dra. Wulan Citra Simatupang","1957-04-19","ID","42.02","OWNERSHIP","2024-07-02"
